January,n. 一月(Jan. )
February,n. 二月(Feb. )
March,n. 三月
April,[名詞] 四月
May,n. 五月
June,[名詞] 六月
July,[名詞] 七月
August,n. 八月
September,[名詞] 九月
October,[名詞] 十月
November,n. 十一月
December,[名詞] 十二月
date,(n.)日期；約會(v.)約會
when,何時
Easter,復活節
Halloween,萬聖節前夕
Thanksgiving,感恩節
Christmas,聖誕節
holiday,節日；假期
race,賽跑；競賽
whose,誰的
first,第一（的）；首先
second,第二的；第二；秒
third,第三（的）
away,離...之遠；離開
runner,跑者
over there,在那邊
take care of,照顧
play the role of,扮演...的角色
letter,信件；字母
dear,親愛的
busy,忙碌的
miss,想念
everything,一切事物
love,愛
food,食物
bottle,瓶子
water,水；澆水
bowl,碗
rice,米；飯
plate,盤子
noodle,麵條
pie,派
piece,塊；片；張
glass,玻璃杯；玻璃
gram,公克
kilogram,公斤
salt,鹽
sugar,糖
a few,幾個；一些
a little,少量的；一點
can,（鐵、鋁）罐
pancake,鬆餅
help,幫助
how many,多少（個）
give,給
need,需要
flour,麵粉
of course,當然
which,哪一個
enough,足夠的
yummy,美味的
teach,教
easy,容易的
how much,多少
delicious,美味的
difficult,困難的
add,添加
mix,混合
heat,加熱；熱
pan,平底鍋
butter,奶油
round,圓形的
batter,麵糊
until,直到...為止
brown,棕色（的）
both,兩者（都）
ready,準備好的
yesterday,昨天
beach,海灘
trash,垃圾
ago,以前
visit,拜訪
island,島嶼
a few,幾個；一些
sea,海
stop,停止
happen,發生
dead,死亡的
warm,溫暖的
rainforest,雨林
die,死亡
by,在...旁邊
How come?,怎麼會？；為什麼？
then,那時候
busy,忙碌的
river,河流
lake,湖泊
hill,山丘
mountain,山
camp,露營；紮營
climb,爬（山）
row a boat,划船
plant,種植；植物
hike,健行
picnic,野餐
last,上一個的
live,居住
playground,遊戲場；操場
everything,每樣事物
change,改變
burn,燃燒
oil,油
sell,賣
make money,賺錢
miss,想念
little,小的
little by little,一點一點地；逐漸地
way,方式
coral reef,珊瑚礁
palm,棕櫚
company,公司
village,村莊
adult,成人
airport,機場
travel,旅行；行進
rest,休息
hotel,飯店
plane,飛機
the sights,風景；名勝
bookstore,書店
buy,購買
just,剛才；就；只
learn,學習
story,故事
cool,酷的
train,火車
cold,冷的
try,嘗試
way,距離；路線
take,帶；拿；取
the other day,前幾天
station,車站；局
department store,百貨公司
restaurant,餐廳
theater,電影院
market,市場
temple,寺廟
famous,有名的
during,在...期間
besides,除...之外
fall in love,墜入情網
age,年紀
lose,失去
cry,哭泣
hide,躲藏
build,建造
trip,旅行；行程
sadly,令人傷心地
last,持續
building,建築物
flea,跳蚤
golden,金黃色的
well known,著名的
forever,永遠
science,科學
camp,營隊；露營
visit,造訪；拜訪
art,藝術；美術
museum,博物館
ago,之前
computer,電腦
before,在...之前；以前
yesterday,昨天
surf the Internet,上網
minute,分鐘
hour,小時
story,故事
lazy,懶惰的
even,甚至
should,應該
wrong,錯誤的
so,很；那麼
just,就；恰好；剛剛
later,稍後
save,拯救；省下；儲存
share,分享
snack,點心
climb,攀爬
kid,開玩笑；小孩
explain,解釋
leftovers,剩菜
hide-and-seek,捉迷藏
wise,有智慧的
hunt,打獵
learn,學習；得知
in the end,最後
mountain,山
lake,湖
island,島
beach,海灘
river,河
hill,小山；丘陵
pond,池塘
hike,健行
swim/swam,游泳
airport,機場
bright,明亮的；晴朗的
guy,傢伙；人
suitcase,手提箱
through,通過；穿過
bring/brought,帶來
plastic,塑膠的；塑膠
keep/kept,保留；保持
throw/threw...away,扔掉
start,開始
begin/began,開始
elementary school,小學
hate,討厭；憎恨
amazing,令人驚喜的
law,法律
-free,無...的
kind,種類；友善的
program,計畫
buy/bought,買
hospital,醫院
package,包裝；包裹
poor,貧窮得；可憐的
stop,停止
collect,收集
half,一半（的）；二分之一
million,百萬
lead/led,領導
one of a kind,獨一無二
